Fondsposition per,"02.Feb.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","30.166.825,54","0,34","30.166.825,54","157.669,00","191,33","Vereinigtes Königreich","London Stock Exchange","GBP"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aktien","30.125.640,87","0,34","30.125.640,87","95.719,00","314,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","29.420.017,96","0,34","29.420.017,96","196.146,00","149,99","Schweiz","SIX Swiss Exchange","CHF"
"GS","GOLDMAN SACHS GROUP INC","Financials","Aktien","29.337.176,33","0,33","29.337.176,33","31.001,00","946,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Gesundheitsversorgung","Aktien","29.285.625,03","0,33","29.285.625,03","258.319,00","113,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Nichtzyklische Konsumgüter","Aktien","28.979.516,94","0,33","28.979.516,94","161.051,00","179,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","IT","Aktien","28.005.538,14","0,32","28.005.538,14","174.969,00","160,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RTX","RTX CORP","Industrie","Aktien","27.333.761,52","0,31","27.333.761,52","135.928,00","201,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","26.845.714,80","0,31","26.845.714,80","81.747,00","328,40","Vereinigte Staaten","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Gesundheitsversorgung","Aktien","26.812.617,15","0,31","26.812.617,15","93.885,00","285,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","25.556.220,15","0,29","25.556.220,15","264.548,00","96,60","Schweiz","SIX Swiss Exchange","CHF"
"RY","ROYAL BANK OF CANADA","Financials","Aktien","24.672.078,58","0,28","24.672.078,58","146.549,00","168,35","Kanada","Toronto Stock Exchange","CAD"
"SIE","SIEMENS N AG","Industrie","Aktien","23.766.770,40","0,27","23.766.770,40","77.415,00","307,01","Deutschland","Xetra","EUR"
"MCD","MCDONALDS CORP","Zyklische Konsumgüter ","Aktien","23.262.882,96","0,27","23.262.882,96","73.032,00","318,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Financials","Aktien","23.172.483,90","0,26","23.172.483,90","125.189,00","185,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION CORP","IT","Aktien","22.734.770,61","0,26","22.734.770,61","465.781,00","48,81","Vereinigte Staaten","NASDAQ","USD"
"SHEL","SHELL PLC","Energie","Aktien","22.612.948,84","0,26","22.612.948,84","597.000,00","37,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"TMO","THERMO FISHER SCIENTIFIC INC","Gesundheitsversorgung","Aktien","22.484.828,73","0,26","22.484.828,73","38.649,00","581,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAP","SAP","IT","Aktien","22.255.222,61","0,25","22.255.222,61","107.785,00","206,48","Deutschland","Xetra","EUR"
"LIN","LINDE PLC","Materialien","Aktien","22.097.343,36","0,25","22.097.343,36","48.021,00","460,16","Vereinigte Staaten","NASDAQ","USD"
"7203","TOYOTA MOTOR CORP","Zyklische Konsumgüter ","Aktien","22.074.022,80","0,25","22.074.022,80","972.100,00","22,71","Japan","Tokyo Stock Exchange","JPY"
"C","CITIGROUP INC","Financials","Aktien","21.858.097,57","0,25","21.858.097,57","188.059,00","116,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Nichtzyklische Konsumgüter","Aktien","21.568.609,60","0,25","21.568.609,60","138.973,00","155,20","Vereinigte Staaten","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","21.222.493,18","0,24","21.222.493,18","94.318,00","225,01","Vereinigte Staaten","NASDAQ","USD"
"GEV","GE VERNOVA INC","Industrie","Aktien","21.084.047,19","0,24","21.084.047,19","27.927,00","754,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE INC","IT","Aktien","20.944.605,93","0,24","20.944.605,93","99.353,00","210,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Aktien","20.815.092,98","0,24","20.815.092,98","1.180.900,00","17,63","Japan","Tokyo Stock Exchange","JPY"
"AXP","AMERICAN EXPRESS","Financials","Aktien","20.174.113,74","0,23","20.174.113,74","57.178,00","352,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAN","BANCO SANTANDER SA","Financials","Aktien","19.782.742,79","0,23","19.782.742,79","1.518.502,00","13,03","Spanien","Bolsa De Madrid","EUR"
"T","AT&T INC","Kommunikation","Aktien","19.661.748,50","0,22","19.661.748,50","747.595,00","26,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","19.649.679,57","0,22","19.649.679,57","333.610,00","58,90","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ABT","ABBOTT LABORATORIES","Gesundheitsversorgung","Aktien","19.626.512,85","0,22","19.626.512,85","179.385,00","109,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KLAC","KLA CORP","IT","Aktien","19.514.986,20","0,22","19.514.986,20","13.836,00","1.410,45","Vereinigte Staaten","NASDAQ","USD"
"DIS","WALT DISNEY","Kommunikation","Aktien","19.411.719,15","0,22","19.411.719,15","185.847,00","104,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","19.397.556,36","0,22","19.397.556,36","56.277,00","344,68","Vereinigte Staaten","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Kommunikation","Aktien","19.061.139,24","0,22","19.061.139,24","427.284,00","44,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Aktien","18.586.063,08","0,21","18.586.063,08","176.724,00","105,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","18.508.970,37","0,21","18.508.970,37","129.533,00","142,89","Vereinigte Staaten","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","IT","Aktien","18.291.035,58","0,21","18.291.035,58","126.206,00","144,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NEE","NEXTERA ENERGY INC","Versorger","Aktien","18.252.751,90","0,21","18.252.751,90","211.430,00","86,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Aktien","18.082.253,78","0,21","18.082.253,78","171.917,00","105,18","Australien","Asx - All Markets","AUD"
"BA","BOEING","Industrie","Aktien","18.070.701,00","0,21","18.070.701,00","77.550,00","233,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Gesundheitsversorgung","Aktien","18.018.880,75","0,21","18.018.880,75","36.275,00","496,73","Vereinigte Staaten","NASDAQ","USD"
"ALV","ALLIANZ","Financials","Aktien","17.836.918,81","0,20","17.836.918,81","39.890,00","447,15","Deutschland","Xetra","EUR"
"BHP","BHP GROUP LTD","Materialien","Aktien","17.785.486,18","0,20","17.785.486,18","518.304,00","34,31","Australien","Asx - All Markets","AUD"
"TJX","TJX INC","Zyklische Konsumgüter ","Aktien","17.528.142,74","0,20","17.528.142,74","116.722,00","150,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","17.272.950,10","0,20","17.272.950,10","32.735,00","527,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","17.139.048,50","0,20","17.139.048,50","3.346,00","5.122,25","Vereinigte Staaten","NASDAQ","USD"
"ACN","ACCENTURE PLC CLASS A","IT","Aktien","17.000.659,17","0,19","17.000.659,17","63.723,00","266,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financials","Aktien","16.914.703,62","0,19","16.914.703,62","15.107,00","1.119,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","16.763.503,43","0,19","16.763.503,43","57.648,00","290,79","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"QCOM","QUALCOMM INC","IT","Aktien","16.727.762,48","0,19","16.727.762,48","109.604,00","152,62","Vereinigte Staaten","NASDAQ","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aktien","16.662.894,16","0,19","16.662.894,16","126.314,00","131,92","Kanada","Toronto Stock Exchange","CAD"
"UBER","UBER TECHNOLOGIES INC","Industrie","Aktien","16.538.974,76","0,19","16.538.974,76","204.589,00","80,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MC","LVMH","Zyklische Konsumgüter ","Aktien","16.346.426,05","0,19","16.346.426,05","25.752,00","634,77","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TD","TORONTO DOMINION","Financials","Aktien","16.344.513,15","0,19","16.344.513,15","173.265,00","94,33","Kanada","Toronto Stock Exchange","CAD"
"ADI","ANALOG DEVICES INC","IT","Aktien","15.826.840,14","0,18","15.826.840,14","49.949,00","316,86","Vereinigte Staaten","NASDAQ","USD"
"UBSG","UBS GROUP AG","Financials","Aktien","15.801.964,77","0,18","15.801.964,77","332.748,00","47,49","Schweiz","SIX Swiss Exchange","CHF"
"6501","HITACHI LTD","Industrie","Aktien","15.635.123,17","0,18","15.635.123,17","460.200,00","33,97","Japan","Tokyo Stock Exchange","JPY"
"ANET","ARISTA NETWORKS INC","IT","Aktien","15.578.248,08","0,18","15.578.248,08","112.584,00","138,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Gesundheitsversorgung","Aktien","15.497.937,88","0,18","15.497.937,88","581.318,00","26,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","15.404.761,24","0,18","15.404.761,24","57.254,00","269,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","15.329.061,48","0,17","15.329.061,48","225.333,00","68,03","Vereinigtes Königreich","London Stock Exchange","GBP"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Aktien","15.125.845,44","0,17","15.125.845,44","585.450,00","25,84","Spanien","Bolsa De Madrid","EUR"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","15.077.898,04","0,17","15.077.898,04","66.259,00","227,56","Vereinigte Staaten","NASDAQ","USD"
"TTE","TOTALENERGIES","Energie","Aktien","15.032.016,37","0,17","15.032.016,37","210.253,00","71,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrie","Aktien","14.959.772,15","0,17","14.959.772,15","892.128,00","16,77","Vereinigtes Königreich","London Stock Exchange","GBP"
"DHR","DANAHER CORP","Gesundheitsversorgung","Aktien","14.689.418,16","0,17","14.689.418,16","65.748,00","223,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IBE","IBERDROLA SA","Versorger","Aktien","14.558.462,91","0,17","14.558.462,91","653.576,00","22,28","Spanien","Bolsa De Madrid","EUR"
"UNP","UNION PACIFIC CORP","Industrie","Aktien","14.463.587,01","0,16","14.463.587,01","61.487,00","235,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABBN","ABB LTD","Industrie","Aktien","14.407.495,94","0,16","14.407.495,94","166.592,00","86,48","Schweiz","SIX Swiss Exchange","CHF"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Aktien","14.364.282,24","0,16","14.364.282,24","64.218,00","223,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Industrie","Aktien","14.226.994,64","0,16","14.226.994,64","39.581,00","359,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BSX","BOSTON SCIENTIFIC CORP","Gesundheitsversorgung","Aktien","14.118.122,25","0,16","14.118.122,25","153.675,00","91,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","IT","Aktien","14.067.051,36","0,16","14.067.051,36","28.878,00","487,12","Vereinigte Staaten","NASDAQ","USD"
"DE","DEERE","Industrie","Aktien","13.956.127,25","0,16","13.956.127,25","26.221,00","532,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ENR","SIEMENS ENERGY N AG","Industrie","Aktien","13.934.331,06","0,16","13.934.331,06","79.870,00","174,46","Deutschland","Xetra","EUR"
"6758","SONY GROUP CORP","Zyklische Konsumgüter ","Aktien","13.909.727,32","0,16","13.909.727,32","635.200,00","21,90","Japan","Tokyo Stock Exchange","JPY"
"AIR","AIRBUS GROUP","Industrie","Aktien","13.872.393,46","0,16","13.872.393,46","60.703,00","228,53","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BATS","BRITISH AMERICAN TOBACCO","Nichtzyklische Konsumgüter","Aktien","13.699.084,49","0,16","13.699.084,49","226.817,00","60,40","Vereinigtes Königreich","London Stock Exchange","GBP"
"MDT","MEDTRONIC PLC","Gesundheitsversorgung","Aktien","13.636.601,28","0,16","13.636.601,28","132.768,00","102,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAF","SAFRAN SA","Industrie","Aktien","13.560.704,25","0,15","13.560.704,25","38.054,00","356,36","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aktien","13.418.964,00","0,15","13.418.964,00","21.099,00","636,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Aktien","13.183.778,05","0,15","13.183.778,05","388.268,00","33,96","Japan","Tokyo Stock Exchange","JPY"
"COP","CONOCOPHILLIPS","Energie","Aktien","13.182.721,11","0,15","13.182.721,11","129.509,00","101,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UCG","UNICREDIT","Financials","Aktien","13.084.284,24","0,15","13.084.284,24","147.768,00","88,55","Italien","Borsa Italiana","EUR"
"SYK","STRYKER CORP","Gesundheitsversorgung","Aktien","12.987.242,92","0,15","12.987.242,92","35.278,00","368,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DTE","DEUTSCHE TELEKOM N AG","Kommunikation","Aktien","12.848.625,11","0,15","12.848.625,11","379.125,00","33,89","Deutschland","Xetra","EUR"
"ADBE","ADOBE INC","IT","Aktien","12.786.087,16","0,15","12.786.087,16","43.582,00","293,38","Vereinigte Staaten","NASDAQ","USD"
"NEM","NEWMONT","Materialien","Aktien","12.651.952,05","0,14","12.651.952,05","112.113,00","112,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WELL","WELLTOWER INC","Immobilien","Aktien","12.536.817,84","0,14","12.536.817,84","66.888,00","187,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOW","SERVICENOW INC","IT","Aktien","12.522.396,00","0,14","12.522.396,00","106.122,00","118,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","12.520.065,25","0,14","12.520.065,25","26.525,00","472,01","Vereinigte Staaten","NASDAQ","USD"
