Fondsposition per,"02.Feb.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"CPG","COMPASS GROUP PLC","Zyklische Konsumgüter ","Aktien","5.347.854,98","0,06","5.347.854,98","174.569,00","30,63","Vereinigtes Königreich","London Stock Exchange","GBP"
"TGT","TARGET CORP","Nichtzyklische Konsumgüter","Aktien","5.303.880,72","0,06","5.303.880,72","48.424,00","109,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMG","CHIPOTLE MEXICAN GRILL INC","Zyklische Konsumgüter ","Aktien","5.302.056,80","0,06","5.302.056,80","137.680,00","38,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAH","CARDINAL HEALTH INC","Gesundheitsversorgung","Aktien","5.285.189,13","0,06","5.285.189,13","24.141,00","218,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKR","BAKER HUGHES CLASS A","Energie","Aktien","5.279.429,80","0,06","5.279.429,80","93.524,00","56,45","Vereinigte Staaten","NASDAQ","USD"
"MBG","MERCEDES-BENZ GROUP N AG","Zyklische Konsumgüter ","Aktien","5.275.371,43","0,06","5.275.371,43","76.578,00","68,89","Deutschland","Xetra","EUR"
"CABK","CAIXABANK SA","Financials","Aktien","5.269.952,84","0,06","5.269.952,84","391.682,00","13,45","Spanien","Bolsa De Madrid","EUR"
"6702","FUJITSU LTD","IT","Aktien","5.244.510,04","0,06","5.244.510,04","186.700,00","28,09","Japan","Tokyo Stock Exchange","JPY"
"ARGX","ARGENX","Gesundheitsversorgung","Aktien","5.240.719,50","0,06","5.240.719,50","6.228,00","841,48","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","5.230.548,73","0,06","5.230.548,73","229.903,00","22,75","Vereinigtes Königreich","London Stock Exchange","GBP"
"AMP","AMERIPRISE FINANCE INC","Financials","Aktien","5.221.750,16","0,06","5.221.750,16","9.812,00","532,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","5.192.677,04","0,06","5.192.677,04","97.846,00","53,07","Deutschland","Xetra","EUR"
"IDXX","IDEXX LABORATORIES INC","Gesundheitsversorgung","Aktien","5.179.480,80","0,06","5.179.480,80","8.098,00","639,60","Vereinigte Staaten","NASDAQ","USD"
"ROK","ROCKWELL AUTOMATION INC","Industrie","Aktien","5.168.682,60","0,06","5.168.682,60","12.044,00","429,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","5.168.251,18","0,06","5.168.251,18","109.928,00","47,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"FERG","FERGUSON ENTERPRISES INC","Industrie","Aktien","5.152.847,28","0,06","5.152.847,28","20.212,00","254,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Gesundheitsversorgung","Aktien","5.147.524,65","0,06","5.147.524,65","62.281,00","82,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","5.143.892,02","0,06","5.143.892,02","7.592,00","677,54","Schweiz","SIX Swiss Exchange","CHF"
"HLN","HALEON PLC","Gesundheitsversorgung","Aktien","5.122.819,69","0,06","5.122.819,69","982.278,00","5,22","Vereinigtes Königreich","London Stock Exchange","GBP"
"RSG","REPUBLIC SERVICES INC","Industrie","Aktien","5.073.969,60","0,06","5.073.969,60","23.520,00","215,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrie","Aktien","5.056.315,42","0,06","5.056.315,42","52.933,00","95,52","Kanada","Toronto Stock Exchange","CAD"
"GWW","WW GRAINGER INC","Industrie","Aktien","5.011.734,96","0,06","5.011.734,96","4.572,00","1.096,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CTVA","CORTEVA INC","Materialien","Aktien","4.965.888,00","0,06","4.965.888,00","67.840,00","73,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CBRE","CBRE GROUP INC CLASS A","Immobilien","Aktien","4.950.054,08","0,06","4.950.054,08","29.228,00","169,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BAS","BASF N","Materialien","Aktien","4.944.129,81","0,06","4.944.129,81","89.916,00","54,99","Deutschland","Xetra","EUR"
"8002","MARUBENI CORP","Industrie","Aktien","4.912.788,18","0,06","4.912.788,18","154.100,00","31,88","Japan","Tokyo Stock Exchange","JPY"
"CARR","CARRIER GLOBAL CORP","Industrie","Aktien","4.907.690,52","0,06","4.907.690,52","81.307,00","60,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NA","NATIONAL BANK OF CANADA","Financials","Aktien","4.829.836,20","0,06","4.829.836,20","40.338,00","119,73","Kanada","Toronto Stock Exchange","CAD"
"OKE","ONEOK INC","Energie","Aktien","4.825.752,40","0,06","4.825.752,40","64.070,00","75,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MSCI","MSCI INC","Financials","Aktien","4.788.084,00","0,05","4.788.084,00","7.664,00","624,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NDAQ","NASDAQ INC","Financials","Aktien","4.777.573,50","0,05","4.777.573,50","49.350,00","96,81","Vereinigte Staaten","NASDAQ","USD"
"EA","ELECTRONIC ARTS INC","Kommunikation","Aktien","4.753.042,00","0,05","4.753.042,00","23.345,00","203,60","Vereinigte Staaten","NASDAQ","USD"
"XEL","XCEL ENERGY INC","Versorger","Aktien","4.744.905,00","0,05","4.744.905,00","63.690,00","74,50","Vereinigte Staaten","NASDAQ","USD"
"SREN","SWISS RE AG","Financials","Aktien","4.739.825,11","0,05","4.739.825,11","29.842,00","158,83","Schweiz","SIX Swiss Exchange","CHF"
"EOAN","E.ON N","Versorger","Aktien","4.707.633,08","0,05","4.707.633,08","223.905,00","21,03","Deutschland","Xetra","EUR"
"FNV","FRANCO NEVADA CORP","Materialien","Aktien","4.703.698,86","0,05","4.703.698,86","20.264,00","232,12","Kanada","Toronto Stock Exchange","CAD"
"PYPL","PAYPAL HOLDINGS INC","Financials","Aktien","4.698.501,38","0,05","4.698.501,38","89.786,00","52,33","Vereinigte Staaten","NASDAQ","USD"
"MET","METLIFE INC","Financials","Aktien","4.678.197,66","0,05","4.678.197,66","58.602,00","79,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DB1","DEUTSCHE BOERSE AG","Financials","Aktien","4.644.957,24","0,05","4.644.957,24","18.450,00","251,76","Deutschland","Xetra","EUR"
"ETR","ENTERGY CORP","Versorger","Aktien","4.626.013,05","0,05","4.626.013,05","48.445,00","95,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LNG","CHENIERE ENERGY INC","Energie","Aktien","4.617.881,52","0,05","4.617.881,52","22.227,00","207,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aktien","4.603.898,86","0,05","4.603.898,86","46.248,00","99,55","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"6701","NEC CORP","IT","Aktien","4.582.143,57","0,05","4.582.143,57","136.600,00","33,54","Japan","Tokyo Stock Exchange","JPY"
"ASSA B","ASSA ABLOY B","Industrie","Aktien","4.532.754,49","0,05","4.532.754,49","111.562,00","40,63","Schweden","Nasdaq Omx Nordic","SEK"
"GMG","GOODMAN GROUP UNITS","Immobilien","Aktien","4.524.944,71","0,05","4.524.944,71","212.343,00","21,31","Australien","Asx - All Markets","AUD"
"DHI","D R HORTON INC","Zyklische Konsumgüter ","Aktien","4.522.305,15","0,05","4.522.305,15","30.195,00","149,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SE","SEA ADS REPRESENTING LTD CLASS A","Zyklische Konsumgüter ","Aktien","4.479.308,06","0,05","4.479.308,06","39.434,00","113,59","Singapur","New York Stock Exchange Inc.","USD"
"EXC","EXELON CORP","Versorger","Aktien","4.461.124,27","0,05","4.461.124,27","101.597,00","43,91","Vereinigte Staaten","NASDAQ","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","IT","Aktien","4.443.923,20","0,05","4.443.923,20","56.915,00","78,08","Vereinigte Staaten","NASDAQ","USD"
"III","3I GROUP PLC","Financials","Aktien","4.437.805,80","0,05","4.437.805,80","97.705,00","45,42","Vereinigtes Königreich","London Stock Exchange","GBP"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Aktien","4.408.662,72","0,05","4.408.662,72","59.641,00","73,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","4.394.187,38","0,05","4.394.187,38","12.958,00","339,11","Vereinigte Staaten","NASDAQ","USD"
"2914","JAPAN TOBACCO INC","Nichtzyklische Konsumgüter","Aktien","4.392.801,67","0,05","4.392.801,67","120.100,00","36,58","Japan","Tokyo Stock Exchange","JPY"
"YUM","YUM BRANDS INC","Zyklische Konsumgüter ","Aktien","4.391.188,06","0,05","4.391.188,06","28.118,00","156,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PSA","PUBLIC STORAGE REIT","Immobilien","Aktien","4.369.073,94","0,05","4.369.073,94","16.074,00","271,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RACE","FERRARI NV","Zyklische Konsumgüter ","Aktien","4.355.493,12","0,05","4.355.493,12","12.960,00","336,07","Italien","Borsa Italiana","EUR"
"EBAY","EBAY INC","Zyklische Konsumgüter ","Aktien","4.350.923,10","0,05","4.350.923,10","46.395,00","93,78","Vereinigte Staaten","NASDAQ","USD"
"ATD","ALIMENTATION COUCHE TARD INC","Nichtzyklische Konsumgüter","Aktien","4.341.571,90","0,05","4.341.571,90","80.396,00","54,00","Kanada","Toronto Stock Exchange","CAD"
"LR","LEGRAND SA","Industrie","Aktien","4.327.043,80","0,05","4.327.043,80","27.071,00","159,84","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"WCN","WASTE CONNECTIONS INC","Industrie","Aktien","4.305.041,00","0,05","4.305.041,00","25.610,00","168,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SSE","SSE PLC","Versorger","Aktien","4.286.216,76","0,05","4.286.216,76","130.455,00","32,86","Vereinigtes Königreich","London Stock Exchange","GBP"
"TSCO","TESCO PLC","Nichtzyklische Konsumgüter","Aktien","4.285.279,73","0,05","4.285.279,73","728.925,00","5,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"NUE","NUCOR CORP","Materialien","Aktien","4.285.313,76","0,05","4.285.313,76","23.681,00","180,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RIO","RIO TINTO LTD","Materialien","Aktien","4.282.804,60","0,05","4.282.804,60","41.126,00","104,14","Australien","Asx - All Markets","AUD"
"FIX","COMFORT SYSTEMS USA INC","Industrie","Aktien","4.278.057,62","0,05","4.278.057,62","3.637,00","1.176,26","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6146","DISCO CORP","IT","Aktien","4.242.042,72","0,05","4.242.042,72","10.600,00","400,19","Japan","Tokyo Stock Exchange","JPY"
"SAND","SANDVIK","Industrie","Aktien","4.239.120,95","0,05","4.239.120,95","107.553,00","39,41","Schweden","Nasdaq Omx Nordic","SEK"
"MLM","MARTIN MARIETTA MATERIALS INC","Materialien","Aktien","4.238.095,41","0,05","4.238.095,41","6.477,00","654,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","IT","Aktien","4.234.711,16","0,05","4.234.711,16","51.076,00","82,91","Vereinigte Staaten","NASDAQ","USD"
"PRU","PRUDENTIAL PLC","Financials","Aktien","4.224.654,95","0,05","4.224.654,95","257.056,00","16,43","Vereinigtes Königreich","London Stock Exchange","GBP"
"TRGP","TARGA RESOURCES CORP","Energie","Aktien","4.215.578,73","0,05","4.215.578,73","21.219,00","198,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8053","SUMITOMO CORP","Industrie","Aktien","4.202.061,99","0,05","4.202.061,99","108.000,00","38,91","Japan","Tokyo Stock Exchange","JPY"
"RWE","RWE AG","Versorger","Aktien","4.193.996,68","0,05","4.193.996,68","66.554,00","63,02","Deutschland","Xetra","EUR"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Kommunikation","Aktien","4.180.453,07","0,05","4.180.453,07","18.847,00","221,81","Vereinigte Staaten","NASDAQ","USD"
"A","AGILENT TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","4.166.762,64","0,05","4.166.762,64","30.776,00","135,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ED","CONSOLIDATED EDISON INC","Versorger","Aktien","4.148.593,26","0,05","4.148.593,26","39.353,00","105,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DDOG","DATADOG INC CLASS A","IT","Aktien","4.147.279,85","0,05","4.147.279,85","32.137,00","129,05","Vereinigte Staaten","NASDAQ","USD"
"ROP","ROPER TECHNOLOGIES INC","IT","Aktien","4.147.894,52","0,05","4.147.894,52","11.132,00","372,61","Vereinigte Staaten","NASDAQ","USD"
"EBS","ERSTE GROUP BANK AG","Financials","Aktien","4.105.395,65","0,05","4.105.395,65","31.564,00","130,07","Österreich","Wiener Boerse Ag","EUR"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Aktien","4.091.186,40","0,05","4.091.186,40","36.620,00","111,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RBLX","ROBLOX CORP CLASS A","Kommunikation","Aktien","4.082.337,56","0,05","4.082.337,56","60.497,00","67,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VMC","VULCAN MATERIALS","Materialien","Aktien","4.081.278,72","0,05","4.081.278,72","13.341,00","305,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ENI","ENI","Energie","Aktien","4.067.601,75","0,05","4.067.601,75","200.317,00","20,31","Italien","Borsa Italiana","EUR"
"7267","HONDA MOTOR LTD","Zyklische Konsumgüter ","Aktien","4.065.366,63","0,05","4.065.366,63","405.300,00","10,03","Japan","Tokyo Stock Exchange","JPY"
"ASM","ASM INTERNATIONAL NV","IT","Aktien","4.011.269,07","0,05","4.011.269,07","4.806,00","834,64","Niederlande","Euronext Amsterdam","EUR"
"UCB","UCB SA","Gesundheitsversorgung","Aktien","4.003.498,15","0,05","4.003.498,15","13.028,00","307,30","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Aktien","3.983.947,02","0,05","3.983.947,02","21.207,00","187,86","Vereinigte Staaten","NASDAQ","USD"
"DOL","DOLLARAMA INC","Zyklische Konsumgüter ","Aktien","3.975.866,93","0,05","3.975.866,93","29.111,00","136,58","Kanada","Toronto Stock Exchange","CAD"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Aktien","3.954.199,59","0,05","3.954.199,59","28.827,00","137,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MTB","M&T BANK CORP","Financials","Aktien","3.941.311,50","0,04","3.941.311,50","17.475,00","225,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","3.935.349,79","0,04","3.935.349,79","49.646,00","79,27","Schweiz","SIX Swiss Exchange","CHF"
"CPRT","COPART INC","Industrie","Aktien","3.925.145,60","0,04","3.925.145,60","98.920,00","39,68","Vereinigte Staaten","NASDAQ","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","IT","Aktien","3.923.794,50","0,04","3.923.794,50","17.575,00","223,26","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CIEN","CIENA CORP","IT","Aktien","3.901.696,68","0,04","3.901.696,68","14.532,00","268,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrie","Aktien","3.893.742,78","0,04","3.893.742,78","16.662,00","233,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADYEN","ADYEN NV","Financials","Aktien","3.880.228,35","0,04","3.880.228,35","2.600,00","1.492,40","Niederlande","Euronext Amsterdam","EUR"
"6301","KOMATSU LTD","Industrie","Aktien","3.879.258,71","0,04","3.879.258,71","97.200,00","39,91","Japan","Tokyo Stock Exchange","JPY"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Gesundheitsversorgung","Aktien","3.877.083,67","0,04","3.877.083,67","48.397,00","80,11","Vereinigte Staaten","NASDAQ","USD"
"TEVA","TEVA PHARMACEUTICAL INDUSTRIES ADR","Gesundheitsversorgung","Aktien","3.873.171,84","0,04","3.873.171,84","109.042,00","35,52","Israel","New York Stock Exchange Inc.","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Versorger","Aktien","3.867.568,98","0,04","3.867.568,98","48.158,00","80,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DELL","DELL TECHNOLOGIES INC CLASS C","IT","Aktien","3.853.753,56","0,04","3.853.753,56","32.341,00","119,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8591","ORIX CORP","Financials","Aktien","3.852.349,45","0,04","3.852.349,45","129.500,00","29,75","Japan","Tokyo Stock Exchange","JPY"
"9434","SOFTBANK CORP","Kommunikation","Aktien","3.846.257,84","0,04","3.846.257,84","2.839.100,00","1,35","Japan","Tokyo Stock Exchange","JPY"
"SYY","SYSCO CORP","Nichtzyklische Konsumgüter","Aktien","3.835.257,96","0,04","3.835.257,96","46.286,00","82,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Aktien","3.831.456,78","0,04","3.831.456,78","39.618,00","96,71","Vereinigte Staaten","NASDAQ","USD"
"MSTR","STRATEGY INC CLASS A","IT","Aktien","3.830.609,42","0,04","3.830.609,42","27.434,00","139,63","Vereinigte Staaten","NASDAQ","USD"
"KR","KROGER","Nichtzyklische Konsumgüter","Aktien","3.829.696,86","0,04","3.829.696,86","60.731,00","63,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6954","FANUC CORP","Industrie","Aktien","3.819.696,16","0,04","3.819.696,16","98.400,00","38,82","Japan","Tokyo Stock Exchange","JPY"
"IQV","IQVIA HOLDINGS INC","Gesundheitsversorgung","Aktien","3.815.988,69","0,04","3.815.988,69","16.503,00","231,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrie","Aktien","3.791.654,23","0,04","3.791.654,23","20.371,00","186,13","Vereinigte Staaten","NASDAQ","USD"
"FER","FERROVIAL","Industrie","Aktien","3.770.488,98","0,04","3.770.488,98","55.628,00","67,78","Spanien","Bolsa De Madrid","EUR"
"4519","CHUGAI PHARMACEUTICAL LTD","Gesundheitsversorgung","Aktien","3.759.967,88","0,04","3.759.967,88","66.500,00","56,54","Japan","Tokyo Stock Exchange","JPY"
"EXPE","EXPEDIA GROUP INC","Zyklische Konsumgüter ","Aktien","3.744.175,11","0,04","3.744.175,11","13.533,00","276,67","Vereinigte Staaten","NASDAQ","USD"
"FISV","FISERV INC","Financials","Aktien","3.732.216,12","0,04","3.732.216,12","59.298,00","62,94","Vereinigte Staaten","NASDAQ","USD"
"IR","INGERSOLL RAND INC","Industrie","Aktien","3.721.071,72","0,04","3.721.071,72","41.838,00","88,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","3.721.143,35","0,04","3.721.143,35","90.213,00","41,25","Italien","Borsa Italiana","EUR"
"TER","TERADYNE INC","IT","Aktien","3.719.993,24","0,04","3.719.993,24","14.908,00","249,53","Vereinigte Staaten","NASDAQ","USD"
"FICO","FAIR ISAAC CORP","IT","Aktien","3.712.878,69","0,04","3.712.878,69","2.559,00","1.450,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KDP","KEURIG DR PEPPER INC","Nichtzyklische Konsumgüter","Aktien","3.698.780,56","0,04","3.698.780,56","134.648,00","27,47","Vereinigte Staaten","NASDAQ","USD"
"AXON","AXON ENTERPRISE INC","Industrie","Aktien","3.695.559,66","0,04","3.695.559,66","8.034,00","459,99","Vereinigte Staaten","NASDAQ","USD"
"NTR","NUTRIEN LTD","Materialien","Aktien","3.693.183,98","0,04","3.693.183,98","53.875,00","68,55","Kanada","Toronto Stock Exchange","CAD"
"CCL","CARNIVAL CORP","Zyklische Konsumgüter ","Aktien","3.685.086,90","0,04","3.685.086,90","113.562,00","32,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ORA","ORANGE SA","Kommunikation","Aktien","3.671.966,79","0,04","3.671.966,79","195.969,00","18,74","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","3.666.862,77","0,04","3.666.862,77","92.991,00","39,43","Niederlande","Euronext Amsterdam","EUR"
"PRY","PRYSMIAN","Industrie","Aktien","3.656.765,82","0,04","3.656.765,82","30.795,00","118,75","Italien","Borsa Italiana","EUR"
"RJF","RAYMOND JAMES INC","Financials","Aktien","3.649.852,74","0,04","3.649.852,74","21.811,00","167,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SLF","SUN LIFE FINANCIAL INC","Financials","Aktien","3.646.971,63","0,04","3.646.971,63","57.297,00","63,65","Kanada","Toronto Stock Exchange","CAD"
"ADM","ARCHER DANIELS MIDLAND","Nichtzyklische Konsumgüter","Aktien","3.642.620,40","0,04","3.642.620,40","53.505,00","68,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PCG","PG&E CORP","Versorger","Aktien","3.639.377,04","0,04","3.639.377,04","241.338,00","15,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"K","KINROSS GOLD CORP","Materialien","Aktien","3.632.727,90","0,04","3.632.727,90","115.244,00","31,52","Kanada","Toronto Stock Exchange","CAD"
"CCI","CROWN CASTLE INC","Immobilien","Aktien","3.630.680,64","0,04","3.630.680,64","42.734,00","84,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STT","STATE STREET CORP","Financials","Aktien","3.623.411,40","0,04","3.623.411,40","27.330,00","132,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WDAY","WORKDAY INC CLASS A","IT","Aktien","3.622.428,34","0,04","3.622.428,34","20.893,00","173,38","Vereinigte Staaten","NASDAQ","USD"
"RMD","RESMED INC","Gesundheitsversorgung","Aktien","3.618.326,96","0,04","3.618.326,96","14.204,00","254,74","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GRMN","GARMIN LTD","Zyklische Konsumgüter ","Aktien","3.609.719,40","0,04","3.609.719,40","17.445,00","206,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BE","BLOOM ENERGY CLASS A CORP","Industrie","Aktien","3.574.284,09","0,04","3.574.284,09","22.893,00","156,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PAYX","PAYCHEX INC","Industrie","Aktien","3.571.284,44","0,04","3.571.284,44","34.852,00","102,47","Vereinigte Staaten","NASDAQ","USD"
"HEI","HEIDELBERG MATERIALS AG","Materialien","Aktien","3.550.955,15","0,04","3.550.955,15","12.836,00","276,64","Deutschland","Xetra","EUR"
"SLHN","SWISS LIFE HOLDING AG","Financials","Aktien","3.548.717,71","0,04","3.548.717,71","3.242,00","1.094,61","Schweiz","SIX Swiss Exchange","CHF"
"CSU","CONSTELLATION SOFTWARE INC","IT","Aktien","3.545.505,77","0,04","3.545.505,77","1.978,00","1.792,47","Kanada","Toronto Stock Exchange","CAD"
"8725","MS&AD INSURANCE GROUP HOLDINGS INC","Financials","Aktien","3.535.689,10","0,04","3.535.689,10","140.700,00","25,13","Japan","Tokyo Stock Exchange","JPY"
"EME","EMCOR GROUP INC","Industrie","Aktien","3.528.112,74","0,04","3.528.112,74","4.822,00","731,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OTIS","OTIS WORLDWIDE CORP","Industrie","Aktien","3.507.252,65","0,04","3.507.252,65","40.711,00","86,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrie","Aktien","3.502.537,74","0,04","3.502.537,74","364.739,00","9,60","Australien","Asx - All Markets","AUD"
"U11","UNITED OVERSEAS BANK LTD","Financials","Aktien","3.500.703,76","0,04","3.500.703,76","116.093,00","30,15","Singapur","Singapore Exchange","SGD"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Financials","Aktien","3.496.017,22","0,04","3.496.017,22","159.808,00","21,88","Schweden","Nasdaq Omx Nordic","SEK"
"KVUE","KENVUE INC","Nichtzyklische Konsumgüter","Aktien","3.487.922,68","0,04","3.487.922,68","200.686,00","17,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IFC","INTACT FINANCIAL CORP","Financials","Aktien","3.452.021,25","0,04","3.452.021,25","18.645,00","185,14","Kanada","Toronto Stock Exchange","CAD"
"GIVN","GIVAUDAN SA","Materialien","Aktien","3.431.557,60","0,04","3.431.557,60","901,00","3.808,61","Schweiz","SIX Swiss Exchange","CHF"
"7182","JAPAN POST BANK LTD","Financials","Aktien","3.424.309,62","0,04","3.424.309,62","201.200,00","17,02","Japan","Tokyo Stock Exchange","JPY"
"NOKIA","NOKIA","IT","Aktien","3.423.525,61","0,04","3.423.525,61","519.925,00","6,58","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"FITB","FIFTH THIRD BANCORP","Financials","Aktien","3.419.297,05","0,04","3.419.297,05","65.819,00","51,95","Vereinigte Staaten","NASDAQ","USD"
"VTR","VENTAS REIT INC","Immobilien","Aktien","3.415.638,84","0,04","3.415.638,84","44.124,00","77,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CLS","CELESTICA INC","IT","Aktien","3.398.912,17","0,04","3.398.912,17","11.938,00","284,71","Kanada","Toronto Stock Exchange","CAD"
"3382","SEVEN & I HOLDINGS LTD","Nichtzyklische Konsumgüter","Aktien","3.397.060,54","0,04","3.397.060,54","237.200,00","14,32","Japan","Tokyo Stock Exchange","JPY"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash und/oder Derivate","Money Market","3.375.729,35","0,04","3.375.729,35","3.375.729,00","1,00","Irland","-","USD"
"DANSKE","DANSKE BANK","Financials","Aktien","3.374.634,58","0,04","3.374.634,58","65.084,00","51,85","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SWED A","SWEDBANK","Financials","Aktien","3.372.964,88","0,04","3.372.964,88","85.650,00","39,38","Schweden","Nasdaq Omx Nordic","SEK"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Aktien","3.360.278,61","0,04","3.360.278,61","44.643,00","75,27","Vereinigte Staaten","NASDAQ","USD"
"6752","PANASONIC HOLDINGS CORP","Zyklische Konsumgüter ","Aktien","3.355.853,54","0,04","3.355.853,54","252.500,00","13,29","Japan","Tokyo Stock Exchange","JPY"
"KMB","KIMBERLY CLARK CORP","Nichtzyklische Konsumgüter","Aktien","3.354.941,00","0,04","3.354.941,00","33.718,00","99,50","Vereinigte Staaten","NASDAQ","USD"
"OXY","OCCIDENTAL PETROLEUM CORP","Energie","Aktien","3.354.379,20","0,04","3.354.379,20","76.584,00","43,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6981","MURATA MANUFACTURING LTD","IT","Aktien","3.353.023,93","0,04","3.353.023,93","169.200,00","19,82","Japan","Tokyo Stock Exchange","JPY"
